nama_poi,rating,latitude,longitude,place_id
Munik Resto,4.2,-6.2048679,106.8574446,ChIJZdawwWT0aS4RNgfLR-KYurw
Info Kuliner Indonesia,0.0,-6.2087634,106.845599,ChIJh_OgS3L0aS4RfBIJJi3i6fo
Abunawas Restaurant - Matraman,4.4,-6.2006008,106.8528423,ChIJDX5Obmb0aS4R9ya0q2UUiKw
Hadramiah Restaurant Arabic & Indonesian Food,4.6,-6.193008,106.864671,ChIJPb5ESl70aS4RbQSnS8RXRe4
Ajag Ijig,3.9,-6.202268,106.857001,ChIJCxH3N2T0aS4Rw3gH2ZvEX_U
Handayani Prima,4.3,-6.201795,106.856804,ChIJwXPxvWT0aS4RAbt8-HLB-jM
Bumbu Desa Gramedia Matraman,4.1,-6.202801699999999,106.8563499,ChIJeYd5TWT0aS4RqcmhyRNntIU
Bunga Rampai,4.5,-6.1985175,106.8373511,ChIJ1yzBQBT0aS4R2R_548zU1vo
Resto Padang Sepakat,0.0,-6.2087634,106.845599,ChIJh_OgS3L0aS4RCIROk5TXzdU
Kedai Kayumanis,4.3,-6.2064746,106.8637899,ChIJx1v_Rn30aS4RNI0JeL4tFkk
Smarapura,4.3,-6.2286801,106.8563842,ChIJSz0SApvzaS4RAqgljvvEQnE
Iga-Ku Restaurant,4.4,-6.211513,106.844971,ChIJW37leHT0aS4RrocMQUAWBfg
Lapo Marpadotbe,4.5,-6.205518199999999,106.8734096,ChIJkzarlI70aS4RLdQw5l4qOEY
Canting Restaurant,4.5,-6.245648699999999,106.8747744,ChIJ85nlftbzaS4ROHit5BKTkqg
"Gudeg ""Jogja"" Murah dan Enak",3.8,-6.2091933,106.8414952,ChIJvYmaK3P0aS4Rzlu1LY_hTNY
Sederhana,4.3,-6.2023134,106.85712,ChIJidsAR2T0aS4RMtxe-b87CEE
Dapur Solo Matraman,4.2,-6.200778499999999,106.8546599,ChIJ7SHfCmb0aS4R1oj6gcwlJ_Q
Restosamawa Keranggan,0.0,-6.2087634,106.845599,ChIJh_OgS3L0aS4RPzlX8xYfHOo
WikiWikiWok,4.2,-6.2449267,106.8754484,ChIJba5awA_zaS4RiMsYowszqOQ
PEMPEK TAMBA,4.5,-6.208466,106.8531286,ChIJX4JkqzH1aS4RABeEMf09UaA
Sari Idaman,4.4,-6.2189142,106.8875172,ChIJa4B4lmDzaS4R3sZ34uLKTqg
Teman Kita Cafe & Resto,4.5,-6.2042673,106.871266,ChIJExQ7NI_0aS4R5FlBnGjqEjU
Tjikinii Lima Restaurant & Cafe,4.4,-6.1897752,106.8371673,ChIJ5zqXFDn0aS4RZL3YnOETvyc
Restoran Padang Simpang Raya,4.6,-6.211628999999999,106.844038,ChIJJSMwonP0aS4RTD4GucKtirY
Sate Khas Senayan,4.4,-6.201217499999999,106.8858891,ChIJhd-AYJb0aS4RWbu-I5DgEDQ
Waroeng Enjoi Rawamangun,4.2,-6.205206899999999,106.8856964,ChIJm6uQgZf0aS4RSOlnjd9V9uE
Waroeng Bamboe,3.6,-6.204206999999999,106.857159,ChIJO0G662T0aS4RjQRoxUkljhk
Kedai Locale,4.3,-6.1968044,106.8858508,ChIJv87Pt5X0aS4RHmG2GwSj21A
Pagi Sore Rawamangun,4.5,-6.196941400000001,106.8820931,ChIJHz-wepP0aS4RZ-D5Z5pCMq8
Bakmi Golek,4.3,-6.2408353,106.8694276,ChIJWUNo3QvzaS4RK_pWz5saajA
Kindai Jakarta,4.4,-6.1971272,106.8922581,ChIJM0z_nrzzaS4R3JPcAf2o_zc
Paradigma Kafe & Restaurant,4.4,-6.1976982,106.8397566,ChIJK_omPRX0aS4RQuKAYW7TpBA
Restoran Cahaya Timur,4.1,-6.1990053,106.8900027,ChIJsW5EDb70aS4R4elavO33eGY
Bale Bengong,4.1,-6.261518,106.886576,ChIJkcAvMufyaS4R-VqeiK31BBA
Restoran Sederhana Rawamangun,4.6,-6.1966302,106.8829356,ChIJn03InZT0aS4Rk4EXcXl6FA4
Lesehan Gurame Pemuda,4.1,-6.1937178,106.8918939,ChIJiwzEjsD0aS4RbV6nA6tM43Q
Steak 21,4.4,-6.240211500000001,106.8903533,ChIJT-wn0T7zaS4RoTZfJwkEO7s
RM Manado Poco Poco,0.0,-6.204390999999999,106.857277,ChIJ43Kr7mT0aS4RsiE3Xr1dFk4
Nays Cafe,4.2,-6.238289000000001,106.909712,ChIJnyUJ8TTzaS4R1q6ANSzsOAc
Griya Oetami,4.5,-6.267295,106.859985,ChIJL7CEWFfyaS4RJKM6sgeZ4mk
Warteg Niki,4.4,-6.2092729,106.8447889,ChIJxXsCrHP0aS4RWnG5MqUABN4
Gerai Es Teler 77 Gramedia Matraman,3.7,-6.2029644,106.8564056,ChIJMaEvs2X0aS4RJeGIreqzN5o
Alsadda Restaurant,4.5,-6.233038199999999,106.8672093,ChIJSW-nunXzaS4RPKbwx9_mlJs
Kembang Lawang,4.0,-6.238671699999999,106.8942849,ChIJM8Q2yT7zaS4RTQbwBh-MCNI
Ta Wan Restaurant,4.4,-6.224483999999999,106.8780151,ChIJW86mQGXzaS4RkqgBcD0MUQs
Empal Gentong Khas Cirebon,2.7,-6.209579,106.846943,ChIJefIb2nP0aS4RBtQuXrdKjvI
Warung Sate Solo Pak Syam,4.2,-6.2015892,106.8515416,ChIJP3jcNG_0aS4R7p9rMiC7Aus
Bebek Kaleyo,4.5,-6.1932892,106.8927348,ChIJ-RR568D0aS4R8AIJHF97m24
Asinan Betawi H.Mansyur Kamboja,4.5,-6.2008668,106.8849725,ChIJb_Yk3Ov0aS4RhaG9Fw3Hu1g
Kedai Tempo,4.5,-6.194624,106.868174,ChIJNTKz2fT0aS4REUx9Lt-w65A
Sop Ikan Hiu,2.4,-6.209484,106.847022,ChIJY8Za13P0aS4R0m1mNUeXGJA
Rawamangun Roasted Chicken,4.1,-6.202406499999999,106.8912024,ChIJFS9icsD0aS4Rrw0hfFFJgIM
Kuliner Jakarta,0.0,-6.211544,106.845172,ChIJC2rlnJ71aS4RrQjqdhdgOMM
Dapur Jawa,4.2,-6.225244,106.893644,ChIJN2UrTUPzaS4R5Do-W_d00ac
Restoran Rumpun Bambu,4.3,-6.3089739,106.8694582,ChIJqyRhRvTtaS4RiowCAqe7tXI
Visi Resto,4.3,-6.214275499999999,106.8442139,ChIJBx_9AHX0aS4RFJRWA1yRejw
*AWAN* SEAFOOD RESTO,4.4,-6.209149,106.846922,ChIJiR7u03P0aS4Rw97WetPeMjA
Ajwad Resto,4.7,-6.2897801,106.8557815,ChIJAxml5HryaS4RasiFwwBm1u0
Pempek Megaria,4.5,-6.199906899999999,106.8437392,ChIJzeQsbGv0aS4R4ML5fMCJ1W0
Warteg Warmo,4.1,-6.230138800000001,106.8523623,ChIJez1HhZDzaS4RDzWl0w4Y-5E
