nama_poi,rating,price_level,latitude,longitude,place_id,Botani Square Bogor,Taman Kencana Bogor,Transmart Yasmin Bogor
Roofpark Bogor,4.4,2,-6.589329,106.80515,ChIJd-2rmc3FaS4R1sFROjDZmcE,2.5,0.4,7.0
Lemon8 Cafe,4.2,2,-6.6048177,106.8301269,ChIJyVKZk3PGaS4RLPlCKJSjeTc,4.0,5.6,17.4
Grand Garden Resto & Cafe,4.4,2,-6.598764999999999,106.8037897,ChIJ9_azHMbFaS4RVFT4YA3J3qI,2.0,1.4,8.2
Bakery And Cafe Royale,4.4,2,-6.6164562,106.8108043,ChIJyb0c8fzFaS4R0CkLNPl6xDU,3.9,4.2,11.0
Cyrano Building,4.4,2,-6.6060722,106.8007055,ChIJ0YBYIcLFaS4RxMrj0DZucOs,2.3,2.6,9.4
Gumati Cafe & Resto,4.2,2,-6.601432099999999,106.7928741,ChIJP1YclbjFaS4RxY5atlh6MeU,2.8,3.1,6.3
Lusso Cafe & Resto,4.2,2,-6.5694455,106.8053428,ChIJGx5O0DzEaS4RnoI8lUkRYvM,4.9,3.0,5.1
De Cafe Rooftop Garden,4.4,2,-6.617973399999999,106.813795,ChIJWx_hz_zFaS4RsFWVD5vKKeM,3.9,4.6,18.3
MARACA BOOKS AND COFFEE,4.5,2,-6.5933934,106.8031004,ChIJFyoejM7FaS4RCbHEA_3-Pno,4.4,0.6,7.8
Monarchy Bistro,4.4,2,-6.6114985,106.8153557,ChIJg7HP4OPFaS4RBaOvULzdpZg,2.8,4.3,17.2
Culinaire Van Bogor,4.3,2,-6.5844787,106.8173278,ChIJK8clioLGaS4RBwqj_JnW8oc,3.8,2.8,7.0
Kuki Café,4.3,2,-6.5924279,106.802876,ChIJ9Tcmgc7FaS4RTe785Mki0JM,2.8,0.4,7.7
Hancock Resto And Cafe,4.4,2,-6.5951137,106.8053169,ChIJsRPu0c_FaS4Rb3XbCSqGa0k,1.4,1.3,8.2
Eat and Play Cafe,4.5,2,-6.563304,106.763671,ChIJb4xyFozEaS4RKIVY73b7YG4,8.9,9.4,2.9
Shirazi,4.5,2,-6.5807652,106.8070282,ChIJXcLREC7EaS4Ro0XrHlpAeF0,3.2,1.2,6.0
Favela SunsetCafe,4.5,belum ada harga,-6.601432099999999,106.7931614,ChIJqYTI67jFaS4RzcMErJcyI0U,2.8,3.1,6.3
Coffee Time Restaurant & Cafe,4.3,2,-6.5844084,106.8018189,ChIJMUsNkTLEaS4Rg_ygrVrfZ6E,3.3,0.5,7.3
Rumah Cupcakes & BBQ,4.2,2,-6.589404699999999,106.8028395,ChIJh7LR6MzFaS4RE3s0M9Rfi2E,2.4,80,7.3
Malabar Mountain Café,4.6,belum ada harga,-6.582241799999999,106.7783429,ChIJ-5lgZlHEaS4RnsmYS2dkPos,5.7,6.0,5.0
Lotus Cafe,4.4,2,-6.604638400000001,106.8300043,ChIJIwdGZG3GaS4RPbAodk4jSpE,4.0,5.6,17.3
Imah Nini,4.5,2,-6.5808933,106.8082968,ChIJxTFUhS7EaS4R-D0P3TMx8-k,3.3,1.4,6.2
Kemenady Coffee and Co-Working Space,4.5,2,-6.5917431,106.7960448,ChIJNzSABsrFaS4RpOPc3G54lH8,3.9,4.2,8.0
Roemah Koempoel Cafe & Resto,4.0,belum ada harga,-6.5576426,106.7730949,ChIJ72lH0WLEaS4Rse8tLCiBxX0,16.4,7.8,1.3
